Designator,Value,Footprint,LCSC,MfrPart,Populate,Function,Note
J6,GND AUX,PinHeader_1x02_P2.54mm_Vertical,C2337,2.54mm 1x2P pin header,yes,Extra ground wire to a dock PMOD GND pin. J14 has only one ground pin and that is not enough for eight CMOS outputs switching at up to 307 Mbit/s - fit the wire,
R1,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_CLK_A",
R2,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_CLK_B",
R3,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_D0",
R4,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_D1",
R5,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_D2",
R6,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_D3",
R7,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_D4",
R8,22R,R_0402_1005Metric,C25092,,yes,"Receiver output damping into J14, LINK_D5",
R9,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 CLK + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R10,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 CLK - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_SLOW_IN).
R11,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 D0 + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R12,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 D0 - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_R0).
R13,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 D1 + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R14,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 D1 - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_R1).
R15,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 D2 + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R16,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I1 D2 - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_R2).
R17,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I2 CLK + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R18,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I2 CLK - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_PRESENT2).
R19,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I2 D0 + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R20,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I2 D0 - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_SLOW_OUT).
R21,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I2 D1 + straight to the J14 A (T) leg,NOT FITTED. Fit only in direct-LVDS mode; see PINMAP.md 5.3.
R22,0R,R_0402_1005Metric,C17168,,DNP,Direct-LVDS link: I2 D1 - straight to the J14 B (C) leg,NOT FITTED. Fitting this disables whatever signal normally lives on that B leg (LINK_REVCLK).
R23,22R,R_0402_1005Metric,C25092,,yes,"Driver input damping, DRVI_REVCLK",
R24,10k,R_0402_1005Metric,C25744,,yes,Defines DRVI_REVCLK while the Gowin is unconfigured,
R25,22R,R_0402_1005Metric,C25092,,yes,"Driver input damping, DRVI_R0",
R26,10k,R_0402_1005Metric,C25744,,yes,Defines DRVI_R0 while the Gowin is unconfigured,
R27,22R,R_0402_1005Metric,C25092,,yes,"Driver input damping, DRVI_R1",
R28,10k,R_0402_1005Metric,C25744,,yes,Defines DRVI_R1 while the Gowin is unconfigured,
R29,22R,R_0402_1005Metric,C25092,,yes,"Driver input damping, DRVI_R2",
R30,10k,R_0402_1005Metric,C25744,,yes,Defines DRVI_R2 while the Gowin is unconfigured,
R31,100R,R_0402_1005Metric,C25076,,yes,Command channel out of J14 pin 17 onto OUT SCL. Source damping for an unterminated cable wire,
R32,10k,R_0402_1005Metric,C25744,,yes,IN 1 cable detect pull-up; LOW = cable plugged in,
R33,0R,R_0402_1005Metric,C17168,,yes,IN 1 cable detect into J14,
R34,10k,R_0402_1005Metric,C25744,,yes,IN 2 cable detect pull-up; LOW = cable plugged in,
R35,0R,R_0402_1005Metric,C17168,,yes,IN 2 cable detect into J14,
R36,1k,R_0402_1005Metric,C21190,,yes,OUT HPD to ground so board A detects the cable,
R37,100k,R_0402_1005Metric,C25741,,yes,Holds both receivers enabled when J5 has no shunt,
R38,0R,R_0402_1005Metric,C17168,,DNP,SL_5V_OUT: put the dock's 5 V on the OUT socket so board A could run from it,"NOT FITTED. See DESIGN_NOTES.md 5: board A must be able to run from the HL2 anyway, and a 5 V path that only exists in one of the two configurations is a trap."
R39,0R,R_0805_2012Metric,C17168,,yes,Socket 1 shell to board ground,
R40,0R,R_0805_2012Metric,C17168,,yes,Socket 2 shell to board ground,
R41,0R,R_0805_2012Metric,C17168,,yes,Socket 3 shell to board ground,
R42,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 CLK P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R43,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 CLK N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R44,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I1 CLK. Place within 5 mm of the receiver pins.",
R45,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 CLK P leg",NOT FITTED. Part of the AC-coupling option.
R46,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 CLK N leg",NOT FITTED. Part of the AC-coupling option.
R47,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 D0 P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R48,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 D0 N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R49,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I1 D0. Place within 5 mm of the receiver pins.",
R50,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 D0 P leg",NOT FITTED. Part of the AC-coupling option.
R51,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 D0 N leg",NOT FITTED. Part of the AC-coupling option.
R52,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 D1 P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R53,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 D1 N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R54,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I1 D1. Place within 5 mm of the receiver pins.",
R55,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 D1 P leg",NOT FITTED. Part of the AC-coupling option.
R56,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 D1 N leg",NOT FITTED. Part of the AC-coupling option.
R57,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 D2 P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R58,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I1 D2 N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R59,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I1 D2. Place within 5 mm of the receiver pins.",
R60,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 D2 P leg",NOT FITTED. Part of the AC-coupling option.
R61,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I1 D2 N leg",NOT FITTED. Part of the AC-coupling option.
R62,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 CLK P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R63,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 CLK N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R64,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I2 CLK. Place within 5 mm of the receiver pins.",
R65,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 CLK P leg",NOT FITTED. Part of the AC-coupling option.
R66,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 CLK N leg",NOT FITTED. Part of the AC-coupling option.
R67,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 D0 P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R68,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 D0 N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R69,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I2 D0. Place within 5 mm of the receiver pins.",
R70,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 D0 P leg",NOT FITTED. Part of the AC-coupling option.
R71,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 D0 N leg",NOT FITTED. Part of the AC-coupling option.
R72,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 D1 P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R73,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 D1 N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R74,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I2 D1. Place within 5 mm of the receiver pins.",
R75,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 D1 P leg",NOT FITTED. Part of the AC-coupling option.
R76,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 D1 N leg",NOT FITTED. Part of the AC-coupling option.
R77,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 D2 P leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R78,0R,R_0402_1005Metric,C17168,,yes,"DC-coupled link (default), I2 D2 N leg",FITTED. Remove to use the AC-coupling capacitor in parallel with it.
R79,100R,R_0402_1005Metric,C25076,,yes,"Differential termination, I2 D2. Place within 5 mm of the receiver pins.",
R80,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 D2 P leg",NOT FITTED. Part of the AC-coupling option.
R81,4k7,R_0402_1005Metric,C25900,,DNP,"AC-coupling common-mode bias, I2 D2 N leg",NOT FITTED. Part of the AC-coupling option.
R82,1k8,R_0402_1005Metric,C25867,,DNP,VBIAS divider top: 1k8 / 1k0 from +3V3 gives 1.18 V,NOT FITTED. Part of the AC-coupling option.
R83,1k0,R_0402_1005Metric,C21190,,DNP,VBIAS divider bottom,NOT FITTED. Part of the AC-coupling option.
R84,0R,R_0402_1005Metric,C17168,,yes,"Slow-line series link, I1_SLOW",FITTED. Cut to isolate the slow line.
R85,10k,R_0402_1005Metric,C25744,,yes,"Holds LINK_SLOW_IN low with no cable, so the far end reads a break rather than random data",
R86,10k,R_0402_1005Metric,C25744,,yes,IN 2 slow line is unused: hold it low rather than floating,
TP1,TP_LINK_CLK_A,TestPoint_Pad_D1.5mm,,,yes,,
TP2,TP_LINK_CLK_B,TestPoint_Pad_D1.5mm,,,yes,,
TP3,TP_LINK_D0,TestPoint_Pad_D1.5mm,,,yes,,
TP4,TP_LINK_D1,TestPoint_Pad_D1.5mm,,,yes,,
TP5,TP_LINK_D2,TestPoint_Pad_D1.5mm,,,yes,,
TP6,TP_LINK_D3,TestPoint_Pad_D1.5mm,,,yes,,
TP7,TP_LINK_D4,TestPoint_Pad_D1.5mm,,,yes,,
TP8,TP_LINK_D5,TestPoint_Pad_D1.5mm,,,yes,,
TP9,TP_LINK_SLOW_IN,TestPoint_Pad_D1.5mm,,,yes,,
TP10,TP_LINK_SLOW_OUT,TestPoint_Pad_D1.5mm,,,yes,,
TP11,TP_LINK_PRESENT1,TestPoint_Pad_D1.5mm,,,yes,,
TP12,TP_LINK_PRESENT2,TestPoint_Pad_D1.5mm,,,yes,,
TP13,TP_LINK_REVCLK,TestPoint_Pad_D1.5mm,,,yes,,
TP14,TP_LINK_R0,TestPoint_Pad_D1.5mm,,,yes,,
TP15,TP_LINK_R1,TestPoint_Pad_D1.5mm,,,yes,,
TP16,TP_LINK_R2,TestPoint_Pad_D1.5mm,,,yes,,
TP17,TP_DRVI_REVCLK,TestPoint_Pad_D1.5mm,,,yes,,
TP18,TP_I1_HPD,TestPoint_Pad_D1.5mm,,,yes,,
TP19,TP_I2_HPD,TestPoint_Pad_D1.5mm,,,yes,,
TP20,TP_O_HPD,TestPoint_Pad_D1.5mm,,,yes,,
TP21,TP_I2_SLOW,TestPoint_Pad_D1.5mm,,,yes,,
TP22,TP_I1_5V_PIN,TestPoint_Pad_D1.5mm,,,yes,,
TP23,TP_I2_5V_PIN,TestPoint_Pad_D1.5mm,,,yes,,
TP24,TP_O_5V_PIN,TestPoint_Pad_D1.5mm,,,yes,,
TP25,TP_VBIAS,TestPoint_Pad_D1.5mm,,,yes,,
TP26,TP_+3V3,TestPoint_Pad_D1.5mm,,,yes,,
TP27,TP_P5V_J14,TestPoint_Pad_D1.5mm,,,yes,,
TP28,TP_GND,TestPoint_THTPad_D2.0mm_Drill1.0mm,,,yes,,
TP29,TP_GND,TestPoint_THTPad_D2.0mm_Drill1.0mm,,,yes,,
U1,DS90LV048A,TSSOP-16_4.4x5mm_P0.65mm,C87137,DS90LV048ATMTCX/NOPB,yes,"Quad LVDS receiver, 400 Mbps, TSSOP-16. Receives socket I1: all four channels used, none spare",
U2,DS90LV048A,TSSOP-16_4.4x5mm_P0.65mm,C87137,DS90LV048ATMTCX/NOPB,yes,"Quad LVDS receiver, 400 Mbps, TSSOP-16. Receives socket I2: all four channels used, none spare",
U3,DS90LV047A,SOIC-16_3.9x9.9mm_P1.27mm,C201946,DS90LV047ATM/NOPB,yes,"Quad LVDS driver, 400 Mbps, SOIC-16. Drives socket OUT: all four channels used, none spare",
U4,AMS1117-3.3,SOT-223-3_TabPin2,C6186,AMS1117-3.3,yes,3.3 V board supply from J14 pin 11 (5V_Peripheral). Dissipates (5.0 - 3.3) x 0.13 = 0.22 W: flood the SOT-223 tab to the power plane with at least six thermal vias,
